h1,h2,h3
1454,9492,00
1455,11639,00
1456,13334,00
1457,4407,00
1458,17289,00
1459,16950,00
1460,15707,00
1461,15594,00
1462,15594,00
1463,18080,00
1464,17402,00
1465,15820,00
1466,16611,00
1467,12995,00
1468,18419,00
1469,15933,00
1470,16724,00
1471,12995,00
1472,17402,00
1473,15255,00
1474,20566,00
1475,13221,00
1476,17854,00
1477,11300,00
1478,16498,00
1479,15368,00
1480,14817,00
1481,11300,00
1482,18984,00
1483,11752,00
1484,17741,00
1485,19097,00
1486,14351,00
1487,16272,00
1488,19987,00
1489,19960,00
1490,20114,00
1491,12477,00
1492,9379,00
1493,10170,00
1494,7571,00
1495,10848,00
1496,8362,00
1497,8249,00
1498,9718,00
1499,11074,00
1500,11978,00
1501,12543,00
1502,15368,00
1503,9266,00
1504,18306,00
1505,18984,00
1506,9784,00
1507,18532,00
1508,12430,00
1509,19436,00
1510,16611,00
1511,12317,00
1512,15029,00
1513,17063,00
1514,18758,00
1515,19436,00
1516,16272,00
1517,17741,00
1518,15820,00
1519,9040,00
1520,14916,00
1521,16724,00
1522,10283,00
1523,11187,00
1524,14012,00
1525,12995,00
1526,13108,00
1527,15029,00
1528,17741,00
1529,18434,00
1530,15255,00
1531,12769,00
1532,14690,00
1533,17741,00
1534,15933,00
1535,18532,00
1536,12882,00
1537,15142,00
1538,17289,00
1539,19210,00
1540,12970,00
1541,22374,00
1542,21357,00
1543,17289,00
1544,19210,00
1545,17628,00
1546,16950,00
1547,19888,00
1548,15594,00
1549,16385,00
1550,13447,00
1551,14464,00
1552,18080,00
1553,18532,00
1554,13560,00
1555,17402,00
1556,18532,00
1557,17967,00
1558,12543,00
1559,20453,00
1560,13576,00
1561,14195,00
1562,18456,00
1563,18193,00
1564,14980,00
1565,11074,00
1566,7571,00
1567,13221,00
1568,13899,00
1569,16611,00
1570,5650,00
1571,16385,00
1572,10735,00
1573,11074,00
1574,10622,00
1575,7797,00
1576,15142,00
1577,14690,00
1578,12091,00
1579,19662,00
1580,16083,00
1581,14690,00
1582,15594,00
1583,18984,00
1584,16837,00
1585,16171,00
1586,18717,00
1587,16046,00
1588,17628,00
1589,19210,00
1590,15029,00
1591,16950,00
1592,11978,00
1593,18193,00
1594,11639,00
1595,13786,00
1596,16724,00
1597,19097,00
1598,16611,00
1599,17741,00
1600,12995,00
1601,17967,00
1602,15029,00
1603,12543,00
1604,16837,00
1605,17515,00
1606,12995,00
1607,18871,00
1608,14577,00
1609,16724,00
1610,15707,00
1611,18758,00
1612,16046,00
1613,15481,00
1614,16385,00
1615,14351,00
1616,15703,00
1617,19549,00
1618,18310,00
1619,19097,00
1620,19888,00
1621,21236,00
1622,19775,00
1623,18532,00
1624,18984,00
1625,19097,00
1626,18984,00
1627,20792,00
1628,11865,00
1629,10170,00
1630,10283,00
1631,12091,00
1632,8136,00
1633,8362,00
1634,9040,00
1635,12091,00
1636,3955,00
1637,10735,00
1638,10735,00
1639,15933,00
1640,16046,00
1641,17289,00
1642,17176,00
1643,15029,00
1644,16159,00
1645,14238,00
1646,7684,00
1647,10283,00
1648,13673,00
1649,10509,00
1650,14690,00
1651,16724,00
1652,14464,00
1653,15820,00
1654,11300,00
1655,15707,00
1656,14238,00
1657,16046,00
1658,15255,00
1659,16724,00
1660,18984,00
1661,17289,00
1662,10509,00
1663,15142,00
1664,17741,00
1665,14803,00
1666,17176,00
1667,17289,00
1668,17854,00
1669,16950,00
1670,18984,00
1671,14125,00
1672,18080,00
1673,17289,00
1674,15142,00
1675,17176,00
1676,14351,00
1677,17741,00
1678,17854,00
1679,15029,00
1680,17854,00
1681,16611,00
1682,14690,00
1683,20340,00
1684,18080,00
1685,20001,00
1686,20114,00
1687,16498,00
1688,18645,00
1689,21018,00
1690,20340,00
1691,19888,00
1692,14238,00
1693,21018,00
1694,20227,00
1695,14125,00
1696,19549,00
1697,17176,00
1698,19549,00
1699,15384,00
1700,13108,00
1701,13786,00
1702,7797,00
1703,14012,00
1704,10848,00
1705,16724,00
1706,17063,00
1707,17402,00
1708,10735,00
1709,17063,00
1710,16950,00
1711,14916,00
1712,21018,00
1713,18871,00
1714,20905,00
1715,21018,00
1716,10961,00
1717,20792,00
1718,19662,00
1719,20792,00
1720,19210,00
1721,20453,00
1722,9944,00
1723,21018,00
1724,18419,00
1725,20001,00
1726,11752,00
1727,21696,00
1728,22148,00
1729,21470,00
1730,20340,00
1731,15820,00
1732,18306,00
1733,20792,00
1734,11639,00
1735,21244,00
1736,11925,00
1737,19775,00
1738,21421,00
1739,19662,00
1740,13447,00
1741,15481,00
1742,14690,00
1743,12882,00
1744,9831,00
1745,13334,00
1746,12204,00
1747,15255,00
1748,15029,00
1749,13786,00
1750,15029,00
1751,10170,00
1752,13786,00
1753,16159,00
1754,14577,00
1755,14125,00
1756,14464,00
1757,17063,00
1758,12543,00
1759,16385,00
1760,11074,00
1761,15594,00
1762,17967,00
1763,16837,00
1764,15481,00
1765,12204,00
1766,15820,00
1767,14916,00
1768,14238,00
1769,12317,00
1770,16385,00
1771,13108,00
1772,15368,00
1773,15707,00
1774,15255,00
1775,17289,00
1776,17289,00
1777,14351,00
1778,9040,00
1779,16611,00
1780,9718,00
1781,16272,00
1782,16950,00
1783,15481,00
1784,14916,00
1785,11300,00
1786,16159,00
1787,16950,00
1788,17289,00
1789,14577,00
1790,16611,00
1791,16159,00
1792,19775,00
1793,14464,00
1794,20792,00
1795,17289,00
1796,19888,00
1797,20299,00
1798,18193,00
1799,15142,00
1800,21563,00
1801,20566,00
1802,19549,00
1803,21244,00
1804,18080,00
1805,19210,00
1806,18984,00
1807,20340,00
1808,14577,00
1809,18532,00
1810,19210,00
1811,16837,00
1812,18871,00
1813,7006,00
1814,12543,00
1815,12091,00
1816,9718,00
1817,10622,00
1818,12543,00
1819,12995,00
1820,12430,00
1821,14464,00
1822,9266,00
1823,12995,00
1824,17741,00
1825,15594,00
1826,14238,00
1827,11074,00
1828,17967,00
1829,15241,00
1830,12769,00
1831,18419,00
1832,20905,00
1833,18758,00
1834,10057,00
1835,13334,00
1836,18984,00
1837,16046,00
1838,17967,00
1839,12543,00
1840,17515,00
1841,10961,00
1842,13899,00
1843,15820,00
1844,16611,00
1845,11752,00
1846,15820,00
1847,19323,00
1848,17767,00
1849,15481,00
1850,8588,00
1851,17515,00
1852,18080,00
1853,17515,00
1854,18080,00
1855,12995,00
1856,18080,00
1857,19210,00
1858,16046,00
1859,16272,00
1860,18871,00
1861,17515,00
1862,10622,00
1863,16837,00
1864,15255,00
1865,19335,00
1866,14916,00
1867,19775,00
1868,18645,00
1869,13221,00
1870,18306,00
1871,12656,00
1872,19662,00
1873,20114,00
1874,19137,00
1875,21036,00
1876,21131,00
1877,20340,00
1878,14836,00
